ID_event,Year,Month,TimeStep,Lat,Lon,Vmax_ms,RMW_km,category,r_km,source,geometry
03785,37,8,46.0,16.7,282.0,50.1,49.1492319841,3,1756.3261566623244,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (282 16.7)
03785,37,8,47.0,17.0,281.1,47.5,50.33641150060001,2,1852.0506610729644,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (281.1 17)
03785,37,8,48.0,17.2,280.3,43.5,51.5235910171,2,1937.2684213717887,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (280.3 17.2)
03785,37,8,49.0,17.4,279.5,41.5,52.7107705336,1,2022.5335081180128,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (279.5 17.4)
03785,37,8,50.0,17.6,278.8,39.2,53.8979500502,1,2097.2261875632103,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (278.8 17.6)
03785,37,8,51.0,17.8,278.1,37.2,55.0851295667,1,2171.954345277168,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (278.1 17.8)
03785,37,8,52.0,18.0,277.5,36.9,56.2723090832,1,2236.13119175447,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (277.5 18)
03785,37,8,53.0,18.3,277.1,38.7,57.4594885997,1,2279.709831569625,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (277.1 18.3)
03785,37,8,54.0,18.5,276.5,41.0,58.6466681163,1,2344.0276741285056,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (276.5 18.5)
03785,37,8,55.0,18.8,275.9,44.4,59.833847632799994,2,2408.986337364176,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (275.9 18.8)
03785,37,8,56.0,19.0,275.3,46.9,61.021027149300004,2,2473.3589377947424,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (275.3 19)
03785,37,8,57.0,19.2,274.6,50.7,62.2082066658,3,2548.2028234063255,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (274.6 19.2)
03785,37,8,58.0,19.4,274.0,51.7,63.395386182299994,3,2612.533208589599,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (274 19.4)
03785,37,8,59.0,19.6,273.5,53.3,64.5825656989,3,2666.388529145448,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (273.5 19.6)
03785,37,8,60.0,19.8,272.9,53.9,65.7697452154,3,2730.6802606118517,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (272.9 19.8)
03785,37,8,61.0,20.0,272.4,53.5,66.9569247319,3,2784.5159308450075,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (272.4 20)
03785,37,8,62.0,20.2,271.9,53.5036563027,68.1441042484,3,2838.3415915936916,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (271.9 20.2)
03785,37,8,63.0,20.3,271.4,41.0426056498,69.331283765,1,2891.2426837451426,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (271.4 20.3)
03785,37,8,64.0,20.3,270.9,32.8021100668,70.51846328149999,0,2943.2433074326514,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (270.9 20.3)
03785,37,8,65.0,20.3,270.5,25.0917652622,71.705642798,0,2984.8560197930456,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (270.5 20.3)
03785,37,8,66.0,20.2,270.2,18.3428185497,72.8928223145,0,3015.314476210962,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (270.2 20.2)
03785,37,8,67.0,20.2,270.0,12.624104752200001,74.08000183109999,0,3036.14649129633,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (270 20.2)
08394,83,9,0.0,12.1,326.2,18.108442306500002,111.120002747,0,3023.7380843914993,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (326.2 12.1)
